,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,target
0,2.3054945,0.0023285926,-0.00437244,-0.0009825298,-0.00090066105,-0.00040598298,-9.08199e-05,0.00048656182,0.0023700043,-0.00045423585,-0.0041013123,0.00065841875,-0.0018431967,-0.0006528017,0.0004874132,0.0014411153,0.001961119,0.00019111182,0.0018501327,-0.0013760991,alt.atheism
1,3.390962,0.0073641646,0.016649434,-0.004216775,0.0020069485,-0.011553962,-0.006535861,-0.0017433286,-0.011818023,0.006646833,0.0055719013,0.0026394532,0.0015554118,-0.0033422555,-0.00086681155,-0.0071271295,-0.0029222853,-0.0012501675,0.0013484255,0.0045901053,alt.atheism
2,2.4702225,0.013751875,0.005975819,-0.0010554912,-0.0010507925,0.0005042256,-0.00024631555,-0.00076880417,0.0016767659,0.0050036395,0.003353346,0.0009787619,-0.00085728016,-0.0015447934,0.0021012968,0.0002887153,-0.0018484008,-0.00083307363,-0.0007955712,-0.0019043414,alt.atheism
3,2.8381097,0.028971374,-0.0046115927,-0.00021507904,-0.0011616137,-0.0021212695,-0.0011105356,0.0021024256,0.0017090528,0.00085261994,-0.0022532241,-0.0004348957,0.00011329015,0.0021418273,0.0004688395,-0.00041483148,0.0008893652,-0.00045759548,-0.00061880227,-0.00042691603,alt.atheism
4,2.2320273,0.012415209,-0.0028589123,-0.0005958096,0.0010426835,-0.0008340841,0.00012192271,-0.0006017643,-0.0012691031,-0.00060994417,0.000923912,0.0006575866,-0.0012781292,-0.00027793134,5.382947e-05,-0.0005224574,-0.00079891324,-0.0008883914,-0.0010123136,-0.000556714,alt.atheism
5,2.326159,0.002744144,-0.0020089303,-0.00060526485,0.0009603413,-0.0015145009,0.0012113958,0.002202183,0.0023784367,-0.0014727733,-0.0055610496,0.0026713635,-0.0006257004,-0.004242153,-0.003912173,0.0013812413,0.0015334582,8.936778e-05,-0.004870675,0.001342181,alt.atheism
6,2.4960744,0.013252481,-2.378918e-05,-0.0013237823,0.0018561771,-0.0011185745,0.00027883428,-0.00081850716,-0.001409812,-0.0019965472,0.002802152,-0.004306239,-0.0025979378,0.0026062017,0.0018610908,-0.0020757488,-0.00014131486,0.0006392303,0.0026804267,-0.004579866,alt.atheism
7,1.145924,0.0064956946,-0.0049557574,-0.00072527706,-0.0030361922,0.0014146132,0.0021965192,0.021997469,-0.013315601,0.012072987,0.0005759188,-0.0062391562,0.0046144263,-0.006805979,0.0002674272,0.006871247,0.0138513725,0.0042093997,-0.0043824506,0.0023557497,alt.atheism
8,1.6125875,-0.00026436875,0.0059981276,0.02290222,-0.028238324,-0.0067779142,-0.022071134,-0.0049269237,-0.01017983,-0.0012529594,-0.0083233435,0.0018086897,-0.0031219176,-0.0004511199,0.0023757834,0.0034125352,-0.000349896,-0.0018176717,0.0028645755,-0.002830977,alt.atheism
9,2.4985504,0.011004465,0.00050755,0.00038627867,0.00018525407,-0.0015306876,-0.00031919024,-0.0009006668,-0.0015129589,-0.00089801947,-0.0010625032,-0.00026818464,0.0012710866,-0.00034540094,-5.00367e-05,7.627398e-05,-0.0015065678,3.9382678e-05,-0.0024115671,-0.0006556053,alt.atheism
10,2.4268174,0.010364141,0.00024395357,-0.00127529,0.0023989028,-0.0029205587,-0.000985652,6.837723e-05,-0.0009193579,0.0010121315,-0.0019951528,0.0009823831,0.0029637103,0.00034253005,0.00055743515,-0.0013400466,0.0017545739,-0.0007737642,0.0019990073,0.0022523878,alt.atheism
11,2.7746155,0.007346617,0.0041570147,-0.0029920177,0.0028223633,-0.0028442251,0.0005668352,-0.00080294226,-0.0013064257,9.699853e-06,0.0012913924,0.0026848211,0.003964066,0.0009262045,3.689516e-05,-0.0012925604,0.0015111848,0.0002674969,0.0012454592,0.0015722566,alt.atheism
12,2.7097745,0.01371183,-0.0010994113,0.00087752397,0.0015432524,-0.003635961,-0.0005386405,-0.0008281961,-0.0009044296,-0.0020633081,0.002339954,0.00032702758,0.0004153029,0.00042696585,-0.0015289333,-0.0016736218,-0.001854169,0.00033586376,-0.002562179,-0.00014683446,alt.atheism
