,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,target
0,-0.35489327,0.46809992,-0.076527625,0.2263848,0.24782997,0.040653396,-0.14650679,0.33122417,-0.2485198,0.39616057,-0.40032443,-0.3439398,-0.20521057,-0.036698524,0.048922952,-0.049949333,0.15956344,-0.23220699,0.1757617,-0.30059898,0.19167523,0.17785902,0.06439062,-0.12149665,0.30799168,0.26015824,-0.2388714,-0.5276504,-0.107558854,-0.06926349,0.7104825,-0.0054060854,0.07127815,-0.2452102,-0.20063984,0.115641646,-0.21115902,-0.030210422,-0.017298266,-0.5113551,0.2994068,-0.07812154,-0.14598252,0.13232976,-0.20204271,-0.20633109,-0.3739102,0.19915774,0.20183748,0.14412262,0.2711497,-0.26041806,-0.08405468,0.25332224,0.12378928,0.3467106,0.13849534,-0.16410369,-0.35070178,0.20610033,0.17389096,0.25287956,-0.21947692,0.15909848,-0.08765985,0.15815382,0.08996875,0.2867564,-0.054512575,0.31148198,-0.1704384,0.12802058,0.19571894,0.056341894,0.32678777,0.17513967,0.21370073,-0.030512743,0.02584625,-0.3606636,-0.23818643,-0.23979801,-0.24344236,0.469388,-0.009415861,-0.1807279,-0.049256865,0.39080045,0.23474924,-0.12512238,0.19675468,0.19336624,0.19256699,0.025828049,0.025862522,0.33164757,0.00079226564,-0.21065646,-0.03935411,0.09704403,alt.atheism
1,-0.48077837,0.6430152,-0.12509969,0.29233655,0.34579867,0.108445525,-0.21058297,0.3338751,-0.29606888,0.5511348,-0.55357367,-0.40125486,-0.27456304,-0.06409586,0.069642596,-0.07871114,0.21543793,-0.29369617,0.21377775,-0.323112,0.22071709,0.24443485,0.06142897,-0.108082116,0.45517126,0.33304563,-0.26912412,-0.7447353,-0.15810585,-0.09342073,0.97310656,0.004085069,0.05300725,-0.3250443,-0.31930354,0.12989776,-0.29619053,-0.0016013229,0.03785643,-0.61992806,0.41914436,-0.087333776,-0.13791111,0.1455446,-0.28565124,-0.25134876,-0.48735967,0.2799322,0.2805261,0.15194985,0.36086145,-0.33323047,-0.08607525,0.31877187,0.17367826,0.47308117,0.16626985,-0.2063138,-0.44680366,0.23267579,0.22119184,0.33774975,-0.28450495,0.23792818,-0.048856195,0.17207865,0.12010683,0.3910435,-0.04705138,0.37720326,-0.2349999,0.12376118,0.23019986,0.08373709,0.41454476,0.2213954,0.2753237,-0.041583233,0.08828301,-0.49427015,-0.32177037,-0.36843634,-0.32618707,0.5935052,0.02284495,-0.26181704,-0.06053963,0.5142227,0.30351686,-0.18667538,0.19372354,0.2583466,0.22982928,-0.0049896888,-0.029752811,0.43361893,0.018758882,-0.22761837,-0.05183021,0.1062345,alt.atheism
2,-0.43910798,0.5831662,-0.11837247,0.26550838,0.31233308,0.09695915,-0.19004564,0.30437,-0.26525405,0.50077164,-0.5024151,-0.3638102,-0.25161442,-0.054797716,0.057686016,-0.073737696,0.19819677,-0.2717,0.20108528,-0.29475647,0.20254591,0.22159071,0.05492897,-0.09688965,0.41945896,0.30228868,-0.24386385,-0.6754176,-0.14504862,-0.082983635,0.88954663,0.007954823,0.041222285,-0.29914573,-0.29167253,0.112850696,-0.27152625,0.0031122414,0.039925653,-0.5660376,0.3885442,-0.07360518,-0.12278175,0.13512799,-0.261655,-0.22995423,-0.44336233,0.2601329,0.26008698,0.13922106,0.3320123,-0.30019382,-0.0764442,0.29265743,0.15873481,0.4312974,0.14830199,-0.18926518,-0.40532306,0.20955364,0.1987747,0.3103976,-0.25889033,0.21874169,-0.046551514,0.15660548,0.10927332,0.3525029,-0.039892692,0.34350884,-0.21307954,0.11242257,0.21036631,0.07293651,0.37365028,0.19497064,0.2504085,-0.035459496,0.08084043,-0.4476373,-0.29655313,-0.33416307,-0.29727218,0.5426142,0.023657111,-0.242108,-0.053989977,0.4720063,0.27546027,-0.16808005,0.17614959,0.23619503,0.2101101,-0.0044904896,-0.028976122,0.38729134,0.011694692,-0.207815,-0.052111536,0.09493496,alt.atheism
3,-0.40613893,0.53376985,-0.086722,0.2599461,0.2833118,0.05328257,-0.17088905,0.37465292,-0.27827528,0.45512062,-0.4595711,-0.3910903,-0.23775707,-0.042140163,0.05804216,-0.05544466,0.18117367,-0.26445433,0.20170817,-0.34231892,0.21940209,0.2038347,0.074796334,-0.13581942,0.3562528,0.2985333,-0.2730363,-0.60097426,-0.12363615,-0.08036811,0.81342655,-0.009127371,0.08030183,-0.27972856,-0.23039249,0.12670343,-0.2423862,-0.032591015,-0.015137525,-0.5807125,0.34181747,-0.08908188,-0.16500571,0.15326093,-0.2315731,-0.23427694,-0.42617923,0.22779615,0.2293601,0.16263598,0.31123236,-0.3008922,-0.09521024,0.29074797,0.14269508,0.3964481,0.15882368,-0.18667321,-0.4034396,0.23678502,0.19879824,0.28962594,-0.24870387,0.18412688,-0.095597476,0.17668307,0.09882863,0.3277253,-0.059946425,0.35657012,-0.19224347,0.14832486,0.21917841,0.064931266,0.37444302,0.19818385,0.24476081,-0.039314255,0.03250306,-0.41373277,-0.2751386,-0.2742485,-0.27899468,0.53649527,-0.010590017,-0.20643492,-0.05529566,0.4487627,0.26438093,-0.14336531,0.22308984,0.21920653,0.22106344,0.026541302,0.0259113,0.38368875,-0.0015249397,-0.23871146,-0.04384401,0.111408696,alt.atheism
4,-0.31977788,0.4211217,-0.061175305,0.20968089,0.22116384,0.026492054,-0.12894318,0.32761294,-0.2319315,0.3557409,-0.36017388,-0.32766837,-0.18993251,-0.029176077,0.045486666,-0.043293223,0.14243327,-0.2167918,0.16416001,-0.29283196,0.18258767,0.16094467,0.065925546,-0.12083552,0.26980823,0.2403399,-0.22984448,-0.46668425,-0.096060544,-0.063718855,0.64044535,-0.009836214,0.07668676,-0.22111528,-0.17196271,0.10822612,-0.1875102,-0.03675882,-0.02739971,-0.47796065,0.2663166,-0.0762819,-0.14426455,0.12651968,-0.17707525,-0.19424453,-0.34262007,0.17898476,0.18005824,0.13931811,0.24791546,-0.24168238,-0.079661354,0.23334482,0.11003704,0.31371534,0.13299833,-0.15030281,-0.3259079,0.19912174,0.1609499,0.23139653,-0.20354848,0.13975216,-0.0969502,0.15078491,0.079840735,0.2600224,-0.05586358,0.29425707,-0.15121481,0.12808563,0.18538739,0.046192855,0.30580908,0.16230455,0.19734032,-0.030834198,0.011224444,-0.32525802,-0.21532473,-0.20607479,-0.2227622,0.43550915,-0.01640852,-0.16133684,-0.046255566,0.35924706,0.21487804,-0.10750923,0.19424415,0.17430328,0.18113133,0.030238505,0.039840207,0.30675268,-0.0045519685,-0.203132,-0.032391295,0.09267832,alt.atheism
5,-0.37578487,0.49847394,-0.07535686,0.24769682,0.2587087,0.038593773,-0.1582571,0.36672318,-0.26924556,0.41830805,-0.4267606,-0.3773931,-0.22226007,-0.034189407,0.05203257,-0.053840026,0.17014514,-0.25003862,0.18958427,-0.3278637,0.20451006,0.18888596,0.075122364,-0.13383609,0.3204614,0.28158915,-0.2602003,-0.55830497,-0.11829552,-0.07639622,0.75349426,-0.008704711,0.08236447,-0.26053244,-0.210232,0.13043116,-0.22599477,-0.040050462,-0.022336092,-0.5535567,0.31611866,-0.08064204,-0.158466,0.14656821,-0.21398966,-0.22746669,-0.40282828,0.21022531,0.21605556,0.15994623,0.29184115,-0.28191993,-0.09360226,0.26831862,0.12834474,0.367027,0.15477036,-0.17863396,-0.38145477,0.22322467,0.18462071,0.26904112,-0.23745815,0.16851825,-0.10379178,0.17123216,0.09204566,0.30346653,-0.062060855,0.33943564,-0.18024689,0.14117898,0.21412602,0.057842825,0.35298258,0.18936414,0.22971156,-0.036491428,0.019538902,-0.38439056,-0.25730622,-0.24735068,-0.2609751,0.50412375,-0.0122725805,-0.19310042,-0.051075384,0.41990846,0.2491574,-0.12975262,0.21880706,0.20336834,0.207862,0.030153159,0.03573288,0.3577061,-0.0050031897,-0.23121694,-0.04094482,0.10971022,alt.atheism
6,-0.33273223,0.44225442,-0.07705107,0.21366742,0.23562689,0.042809762,-0.1390751,0.30598128,-0.22881065,0.37475708,-0.37952194,-0.32128835,-0.19379503,-0.033594158,0.04934451,-0.049546916,0.14699909,-0.21738695,0.16799694,-0.2755392,0.17703217,0.16765341,0.05865969,-0.110040225,0.29713953,0.24663788,-0.22128743,-0.4971495,-0.10183052,-0.06589324,0.66887105,-0.007387077,0.061190307,-0.23277274,-0.19332393,0.10524894,-0.19898257,-0.023826279,-0.01150235,-0.4724029,0.28227153,-0.07129637,-0.13461429,0.12367953,-0.19218704,-0.19164248,-0.35032794,0.18948779,0.18711273,0.13377643,0.25748,-0.24634954,-0.07734617,0.2408782,0.11757353,0.32855827,0.13089332,-0.15423638,-0.3307139,0.19005561,0.16180289,0.23665437,-0.20695537,0.15257113,-0.08098963,0.14665295,0.083231054,0.26864517,-0.052793637,0.29479137,-0.16117468,0.1175545,0.18558425,0.053443305,0.30787066,0.16466531,0.19923268,-0.032381132,0.027831413,-0.340007,-0.22691533,-0.23072356,-0.22620541,0.43887728,-0.00502809,-0.17142543,-0.04749546,0.36840078,0.22040936,-0.11650913,0.17875467,0.18294708,0.18108596,0.01938766,0.019471124,0.3155393,-0.00078127,-0.19269252,-0.036207832,0.08909534,alt.atheism
7,-0.13152464,0.17375807,-0.019930556,0.093283,0.08606867,-0.005544532,-0.04569303,0.16841759,-0.103246294,0.13740025,-0.13797565,-0.15093161,-0.07886528,-0.009085386,0.019275023,-0.016544426,0.061225656,-0.09330716,0.06776372,-0.14042623,0.08556209,0.06040926,0.026360193,-0.068775155,0.09636039,0.09746731,-0.100086875,-0.17590906,-0.03943573,-0.025339419,0.25565115,-0.00686081,0.04250303,-0.08691756,-0.049925137,0.05584799,-0.07206579,-0.029424528,-0.032973323,-0.21044691,0.09689208,-0.039996404,-0.07938841,0.062672205,-0.07125503,-0.08370346,-0.14262435,0.066431314,0.068199985,0.06810301,0.10403112,-0.10624447,-0.03971411,0.10624683,0.049607385,0.122829296,0.05844255,-0.0701608,-0.14538957,0.09138683,0.07045921,0.09084814,-0.08876252,0.04502596,-0.05372845,0.07110808,0.029219009,0.102919556,-0.033750232,0.13128787,-0.055773813,0.06987957,0.0912987,0.01492427,0.12684883,0.07407768,0.0824939,-0.014544137,-0.009411678,-0.13321693,-0.09179762,-0.07450566,-0.08973652,0.1849611,-0.01283135,-0.065290265,-0.01694771,0.14578371,0.09060825,-0.03911194,0.09301138,0.071045585,0.08684141,0.025086634,0.038847428,0.1286165,-0.004796486,-0.09840023,-0.008775417,0.051482413,alt.atheism
8,-0.14797506,0.20715553,-0.01929307,0.11045053,0.107586265,-0.01122864,-0.059363615,0.20422237,-0.13264968,0.16284235,-0.16816258,-0.18851224,-0.09525839,-0.012254941,0.025135556,-0.01730724,0.06994708,-0.10559082,0.08761751,-0.17991704,0.103438884,0.07007779,0.038672525,-0.0784534,0.11657682,0.11922877,-0.13322392,-0.21467108,-0.03750128,-0.028465984,0.30569014,-0.022342145,0.065035395,-0.11148201,-0.06248539,0.067341946,-0.09387936,-0.044894554,-0.046834905,-0.25039253,0.117717266,-0.048722297,-0.102753565,0.069077015,-0.0771946,-0.106203385,-0.17268947,0.08004599,0.078135505,0.08561441,0.11237629,-0.12501279,-0.054887485,0.120505825,0.046187427,0.15285715,0.077660784,-0.07269503,-0.17397653,0.11481048,0.077937394,0.112139136,-0.096457675,0.056096382,-0.068732806,0.08814581,0.030942198,0.12008913,-0.03614419,0.16231605,-0.07197744,0.08931818,0.10355571,0.023384005,0.16450259,0.09255946,0.10198274,-0.018908435,-0.020745443,-0.15671475,-0.09800862,-0.08547495,-0.102149695,0.22426404,-0.0302216,-0.06806545,-0.021707926,0.18115509,0.1122714,-0.04383714,0.12550238,0.08787064,0.10359837,0.021691062,0.04243868,0.1554951,-0.0036645639,-0.11664121,-0.015410282,0.05521123,alt.atheism
9,-0.35948396,0.47671407,-0.07801028,0.22907804,0.25151828,0.043233953,-0.15136895,0.33958745,-0.25313067,0.40254298,-0.40480354,-0.35112223,-0.20968358,-0.037164547,0.05248634,-0.0519649,0.16136943,-0.23546845,0.17973961,-0.30688313,0.19406544,0.1803936,0.06647153,-0.12490026,0.3130405,0.26397422,-0.24477422,-0.53397626,-0.11319414,-0.06998141,0.72101295,-0.009191253,0.07571773,-0.25019822,-0.20459251,0.11675731,-0.21432753,-0.031159215,-0.015054683,-0.517781,0.30366975,-0.080336615,-0.14726754,0.13750236,-0.20549309,-0.20691593,-0.37880492,0.20101954,0.20204234,0.1487893,0.27731058,-0.265726,-0.085081995,0.25955522,0.12624648,0.3512638,0.1427715,-0.16596626,-0.35859323,0.2090906,0.17553008,0.25635707,-0.22466257,0.1641537,-0.09120658,0.16153115,0.09068581,0.28881103,-0.056960877,0.31849572,-0.17255685,0.13116996,0.20053789,0.056460597,0.3312619,0.17730384,0.21810424,-0.03376988,0.025719492,-0.36617202,-0.2425851,-0.24131428,-0.24839081,0.4776406,-0.009453047,-0.1848954,-0.051606886,0.39870158,0.2383859,-0.12447281,0.19761066,0.19648114,0.19636525,0.025370786,0.026662048,0.33888504,-0.0022204868,-0.21409102,-0.035874195,0.098054774,alt.atheism
